exercises_id,exercises_decoding,exercises_name,exercises_aliases,exercises_type,exercises_focus,exercises_variation,exercises_motion,exercises_grip,exercises_configuration,exercises_facilitation,exercises_orientation,exercises_equipment,exercises_difficulty
1175,Bridge (Glute) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Lateral Glute Bridge  /  -,,Bridge,Glute,,Lateral,,,,,-,
1176,Bridge (Glute) ⟮-⟯ [Pulsing] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Pulsing Glute Bridge  /  -,,Bridge,Glute,,Pulsing,,,,,-,
1178,Bridge (Glute) ⟮Table Top⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Table Top Glute Bridge  /  -,,Bridge,Glute,Table Top,,,,,,-,
1179,Burpee (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Burpee  /  -,,Burpee,,,,,,,,-,
1180,Burpee (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋,Burpee  /  with Dumbbells,,Burpee,,,,,,,,Dumbbells,
1181,Carry (-) ⟮Zercher⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Zercher Carry  /  with Barbell,,Carry,,Zercher,,,,,,Barbell,
1182,"Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar, Dip Belt⌋","Chin Up  /  with Pull Up Bar, Dip Belt",,Chin Up,,,,,,,,"Pull Up Bar, Dip Belt",
1183,Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Chin Up  /  with Pull Up Bar,,Chin Up,,,,,,,,Pull Up Bar,
1187,"Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {Assisted} ⌈-⌉ ⌊Pull Up Bar, Pull Up Band⌋","Assisted Chin Up  /  with Pull Up Bar, Pull Up Band",,Chin Up,,,,,,Assisted,,"Pull Up Bar, Pull Up Band",
1184,Chin Up (-) ⟮-⟯ [-] ⟨Close Grip⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Close Grip Chin Up  /  with Pull Up Bar,,Chin Up,,,,Close Grip,,,,Pull Up Bar,
1185,Chin Up (-) ⟮-⟯ [-] ⟨Uneven Grip⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Uneven Grip Chin Up  /  with Pull Up Bar,,Chin Up,,,,Uneven Grip,,,,Pull Up Bar,
1186,Chin Up (-) ⟮Around the Bar⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Around the Bar Chin Up  /  with Pull Up Bar,,Chin Up,,Around the Bar,,,,,,Pull Up Bar,
1188,Circle (Arm) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Arm Circle  /  -,,Circle,Arm,,,,,,,-,
1189,Circle (Arm) ⟮-⟯ [-] ⟨-⟩ ⧼1 Arm⧽ {-} ⌈-⌉ ⌊-⌋,1 Arm Arm Circle  /  -,,Circle,Arm,,,,1 Arm,,,-,
1190,Circle (Elbow) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Elbow Circle  /  -,,Circle,Elbow,,,,,,,-,
1191,Circle (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Hip Circle  /  -,,Circle,Hip,,,,,,,-,
1192,Circle (Knee) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Knee Circle  /  -,,Circle,Knee,,,,,,,-,
1193,Clamshell (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Clamshell  /  -,,Clamshell,,,,,,,,-,
1194,Clamshell (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋,Clamshell  /  with Mini Loop Band,,Clamshell,,,,,,,,Mini Loop Band,
1195,Clean & Jerk (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Clean & Jerk  /  with Barbell,,Clean & Jerk,,,,,,,,Barbell,
1196,Clean & Jerk (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Kettlebells⌋,Clean & Jerk  /  with Kettlebells,,Clean & Jerk,,,,,,,,Kettlebells,
1197,Clean & Jerk (-) ⟮-⟯ [-] ⟨-⟩ ⧼1 Arm⧽ {-} ⌈-⌉ ⌊Kettlebell⌋,1 Arm Clean & Jerk  /  with Kettlebell,,Clean & Jerk,,,,,1 Arm,,,Kettlebell,
1198,Clean & Press (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Clean & Press  /  with Barbell,,Clean & Press,,,,,,,,Barbell,
1200,Climber (-) ⟮Mountain⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Mountain Climber  /  -,,Climber,,Mountain,,,,,,-,
1199,Climber (-) ⟮Mountain⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Suspension Trainer⌋,Mountain Climber  /  with Suspension Trainer,,Climber,,Mountain,,,,,,Suspension Trainer,
1201,Climber (-) ⟮Mountain⟯ [Cross Body] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Cross Body Mountain Climber  /  -,,Climber,,Mountain,Cross Body,,,,,-,
1202,Climber (-) ⟮Mountain⟯ [High] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,High Mountain Climber  /  -,,Climber,,Mountain,High,,,,,-,
1203,Climber (-) ⟮Mountain⟯ [Vertical] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Vertical Mountain Climber  /  -,,Climber,,Mountain,Vertical,,,,,-,
1204,Climbing (-) ⟮Monkey⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Monkey Bars⌋,Monkey Climbing  /  with Monkey Bars,,Climbing,,Monkey,,,,,,Monkey Bars,
1205,Climbing (-) ⟮Rope⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Climbing Rope⌋,Rope Climbing  /  with Climbing Rope,,Climbing,,Rope,,,,,,Climbing Rope,
1206,Climbing (-) ⟮Stair⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Stair Climber Machine⌋,Staff Climbing  /  with Stair Climber Machine,,Climbing,,Stair,,,,,,Stair Climber Machine,
1207,Cluster (-) ⟮Crossfit⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Crossfit Cluster  /  with Barbell,,Cluster,,Crossfit,,,,,,Barbell,
1208,Coaster (Ab) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Lever Ab Coaster Machine⌋,Ab Coaster  /  with Lever Ab Coaster Machine,,Coaster,Ab,,,,,,,Lever Ab Coaster Machine,
1209,Crawl (-) ⟮Bear⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Bear Crawl  /  -,,Crawl,,Bear,,,,,,-,
1210,Cross (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Cross  /  -,,Cross,,,,,,,,-,
1211,"Cross (-) ⟮Boxing⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Punching Bag, Boxing Gloves⌋","Boxing Cross  /  with Punching Bag, Boxing Gloves",,Cross,,Boxing,,,,,,"Punching Bag, Boxing Gloves",
1212,Cross (-) ⟮Iron⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋,Iron Cross  /  with Dumbbells,,Cross,,Iron,,,,,,Dumbbells,
1213,"Crossover (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Cable Crossover Machine, Open D Handles⌋","Crossover  /  with Cable Crossover Machine, Open D Handles",,Crossover,,,,,,,,"Cable Crossover Machine, Open D Handles",
1215,"Crossover (-) ⟮-⟯ [-] ⟨-⟩ ⧼1 Arm⧽ {-} ⌈-⌉ ⌊Cable Crossover Machine, Open D Handle⌋","1 Arm Crossover  /  with Cable Crossover Machine, Open D Handle",,Crossover,,,,,1 Arm,,,"Cable Crossover Machine, Open D Handle",
1214,"Crossover (-) ⟮-⟯ [Downward] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Cable Crossover Machine, D Handles⌋","Downward Crossover  /  with Cable Crossover Machine, D Handles",,Crossover,,,Downward,,,,,"Cable Crossover Machine, D Handles",
1217,Crossover (-) ⟮-⟯ [Downward] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Sitting Lateral Raise Machine⌋,Downward Crossover  /  with Fixed Sitting Lateral Raise Machine,,Crossover,,,Downward,,,,,Fixed Sitting Lateral Raise Machine,
1216,"Crossover (-) ⟮-⟯ [Downward] ⟨-⟩ ⧼-⧽ {-} ⌈Athletic⌉ ⌊Cable Crossover Machine, D Handles⌋","Downward Crossover  /  at Athletic Orientation  /  with Cable Crossover Machine, D Handles",,Crossover,,,Downward,,,,Athletic,"Cable Crossover Machine, D Handles",
1218,"Crossover (-) ⟮-⟯ [Upward] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Cable Crossover Machine, Open D Handles⌋","Downward Crossover  /  with Cable Crossover Machine, Open D Handles",,Crossover,,,Downward,,,,,"Cable Crossover Machine, Open D Handles",
1219,"Crossover (Upper Chest) ⟮-⟯ [Upward] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Cable Crossover Machine, Open D Handles⌋","Upward Upper Chest Crossover  /  with Cable Crossover Machine, Open D Handles",,Crossover,Upper Chest,,Upward,,,,,"Cable Crossover Machine, Open D Handles",
1226,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Crunch  /  -,,Crunch,,,,,,,,-,
1227,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Ab Rocker⌋,Crunch  /  with Ab Rocker,,Crunch,,,,,,,,Ab Rocker,
1220,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Declined Bench⌋,Crunch  /  with Declined Bench,,Crunch,,,,,,,,Declined Bench,
1228,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,Crunch  /  with Dumbbell,,Crunch,,,,,,,,Dumbbell,
1223,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Abdominal & Back Extension Station⌋,Crunch  /  with Fixed Abdominal & Back Extension Station,,Crunch,,,,,,,,Fixed Abdominal & Back Extension Station,
1222,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Crunch Machine⌋,Crunch  /  with Fixed Crunch Machine,,Crunch,,,,,,,,Fixed Crunch Machine,
1225,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊King Pro Abdominal Bench⌋,Crunch  /  with King Pro Abdominal Bench,,Crunch,,,,,,,,King Pro Abdominal Bench,
1229,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Medicine Ball⌋,Crunch  /  with Medicine Ball,,Crunch,,,,,,,,Medicine Ball,
1221,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Stability Ball⌋,Crunch  /  with Stability Ball,,Crunch,,,,,,,,Stability Ball,
1230,"Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Weight Plate, Flat Bench⌋","Crunch  /  with Weight Plate, Flat Bench",,Crunch,,,,,,,,"Weight Plate, Flat Bench",
1224,"Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈Standing⌉ ⌊Cable Machine, Double Tricep Rope⌋","Crunch  /  at Standing Orientation  /  with Cable Machine, Double Tricep Rope",,Crunch,,,,,,,Standing,"Cable Machine, Double Tricep Rope",
1231,"Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈Vertical Kneeling⌉ ⌊Cable Machine, Double Tricep Rope⌋","Crunch  /  at Vertical Kneeling Orientation  /  with Cable Machine, Double Tricep Rope",,Crunch,,,,,,,Vertical Kneeling,"Cable Machine, Double Tricep Rope",
1232,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼Raised Knee⧽ {-} ⌈-⌉ ⌊-⌋,Raised Knee Crunch  /  -,,Crunch,,,,,Raised Knee,,,-,
1233,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼Raised Straight Leg⧽ {-} ⌈-⌉ ⌊-⌋,Raised Straight Leg Crunch  /  -,,Crunch,,,,,Raised Straight Leg,,,-,
1247,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼Raised Straight Legs⧽ {-} ⌈-⌉ ⌊Wall⌋,Raised Straight Legs Crunch  /  with Wall,,Crunch,,,,,Raised Straight Legs,,,Wall,
1234,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼Straight Arm⧽ {-} ⌈-⌉ ⌊-⌋,Straight Arm Crunch  /  -,,Crunch,,,,,Straight Arm,,,-,
1235,Crunch (-) ⟮-⟯ [-] ⟨-⟩ ⧼Twisted⧽ {-} ⌈-⌉ ⌊-⌋,Twisted Crunch  /  -,,Crunch,,,,,Twisted,,,-,
1246,Crunch (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Wall⌋,Lateral Crunch  /  with Wall,,Crunch,,,Lateral,,,,,Wall,
1249,Crunch (-) ⟮-⟯ [Tuck] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Tuck Crunch  /  -,,Crunch,,,Tuck,,,,,-,
1236,Crunch (-) ⟮Air Bicycle⟯ [Twisting] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Twisting Air Bicycle Crunch  /  -,,Crunch,,Air Bicycle,Twisting,,,,,-,
1239,Crunch (-) ⟮Bicycle⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Bicycle Crunch  /  -,,Crunch,,Bicycle,,,,,,-,
1237,Crunch (-) ⟮Bicycle⟯ [Twisting] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Twisting Bicycle Crunch  /  -,,Crunch,,Bicycle,Twisting,,,,,-,
1238,Crunch (-) ⟮Bicycle⟯ [Twisting] ⟨-⟩ ⧼Raised Leg⧽ {-} ⌈-⌉ ⌊-⌋,Raised Leg Twisting Bicycle Crunch  /  -,,Crunch,,Bicycle,Twisting,,Raised Leg,,,-,
1240,Crunch (-) ⟮Cross⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Cross Crunch  /  -,,Crunch,,Cross,,,,,,-,
1241,Crunch (-) ⟮Frog⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Frog Crunch  /  -,,Crunch,,Frog,,,,,,-,
1242,Crunch (-) ⟮Frog⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Stability Ball⌋,Frog Crunch  /  with Stability Ball,,Crunch,,Frog,,,,,,Stability Ball,
1243,Crunch (-) ⟮Full⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Lever Crunch Machine⌋,Full Crunch  /  with Lever Crunch Machine,,Crunch,,Full,,,,,,Lever Crunch Machine,
1244,Crunch (-) ⟮Half Cross⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Half Cross Crunch  /  -,,Crunch,,Half Cross,,,,,,-,
1245,Crunch (-) ⟮Knee Touch⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Knee Touch Crunch  /  -,,Crunch,,Knee Touch,,,,,,-,
1248,Crunch (-) ⟮Reverse⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Reverse Crunch  /  -,,Crunch,,Reverse,,,,,,-,
1250,Crunch (Oblique) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Oblique Crunch  /  -,,Crunch,Oblique,,,,,,,-,
1251,Curl (-) ⟮Jefferson⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋,Jefferson Curl  /  with Dumbbells,,Curl,,Jefferson,,,,,,Dumbbells,
1253,"Curl (Bicep) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell, Abdominal Bench⌋","Bicep Curl  /  with Barbell, Abdominal Bench",,Curl,Bicep,,,,,,,"Barbell, Abdominal Bench",
1262,"Curl (Bicep) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell, Arm Blaster⌋","Bicep Curl  /  with Barbell, Arm Blaster",,Curl,Bicep,,,,,,,"Barbell, Arm Blaster",
