id,decoding,title,aliases,categories,subcategories,types,focuses,variations,motions,grips,configurations,facilitations,orientations,equipment,positions,difficulty,source
1142,"Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Cable Machine, Ankle Strap⌋","Hip Adduction  /  with Cable Machine, Ankle Strap",,"Balance, Strength","Stability, Weight Machine",Adduction,Hip,,,,,,,"Cable Machine, Ankle Strap",1 Leg Standing,,"../Exercises/Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Cable Machine, Ankle Strap⌋"
1145,Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Fixed Standing Adduction Machine⌋,1 Leg Hip Adduction  /  with Fixed Standing Adduction Machine,,"Balance, Strength","Stability, Weight Machine",Adduction,Hip,,,,1 Leg,,,Fixed Standing Adduction Machine,1 Leg Standing,,../Exercises/Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Fixed Standing Adduction Machine⌋
1146,Arch (Body) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Arch Body  /  -,,"Flexibility, Strength",Bodyweight,Arch,Body,,,,,,,,"Prone Lying, Prone Arch",,../Exercises/Arch (Body) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1147,Arch (Body) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,Arch Body  /  with Dumbbell,,"Flexibility, Strength","Bodyweight, Free Weight",Arch,Body,,,,,,,Dumbbell,"Prone Lying, Prone Arch",,../Exercises/Arch (Body) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋
1148,Arch (Body) ⟮-⟯ [Hold] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Arch Body Hold  /  -,,"Flexibility, Strength",Bodyweight,Arch,Body,,Hold,,,,,,"Prone Lying, Prone Arch",,../Exercises/Arch (Body) ⟮-⟯ [Hold] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1149,Ballerina (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Ballerina  /  -,,"Flexibility, Strength","Bodyweight, Stretching",Ballerina,,,,,,,,,Butterfly,,../Exercises/Ballerina (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1150,Battle Rope (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Battle Ropes⌋,Battle Rope  /  with Battle Ropes,,"Endurance, Strength",Free Weight,Battle Rope,,,,,,,,Battle Ropes,Athletic,,../Exercises/Battle Rope (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Battle Ropes⌋
1151,Bend (-) ⟮-⟯ [Forward] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Forward Bend  /  -,,Flexibility,"Bodyweight, Stretching",Bend,,,Forward,,,,,,"Standing, Half Forward Bent",,../Exercises/Bend (-) ⟮-⟯ [Forward] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1154,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Lateral Bend  /  -,,Flexibility,Bodyweight,Bend,,,Lateral,,,,,,"Standing, Lateral Bent",,../Exercises/Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1155,"Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Cable Machine, D Handle⌋","Lateral Bend  /  with Cable Machine, D Handle",,"Flexibility, Strength",Weight Machine,Bend,,,Lateral,,,,,"Cable Machine, D Handle","Standing, Lateral Bent",,"../Exercises/Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Cable Machine, D Handle⌋"
1157,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,Lateral Bend  /  with Dumbbell,,"Flexibility, Strength",Free Weight,Bend,,,Lateral,,,,,Dumbbell,"Standing, Lateral Bent",,../Exercises/Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋
1156,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Free Bar⌋,Lateral Bend  /  with Free Bar,,Flexibility,"Bodyweight, Stretching",Bend,,,Lateral,,,,,Free Bar,"Standing, Lateral Bent",,../Exercises/Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Free Bar⌋
1153,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Hyperextension Bench⌋,Lateral Bend  /  with Hyperextension Bench,,"Balance, Flexibility, Strength","Bodyweight, Stability, Stretching",Bend,,,Lateral,,,,,Hyperextension Bench,"Inclined Lateral Lying, Lateral Bent",,../Exercises/Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Hyperextension Bench⌋
1152,"Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Weight Plate, Stability Ball⌋","Lateral Bend  /  with Weight Plate, Stability Ball",,"Balance, Flexibility, Strength","Bodyweight, Stability, Stretching, Free Weight",Bend,,,Lateral,,,,,"Weight Plate, Stability Ball","Inclined Lateral Lying, Lateral Bent",,"../Exercises/Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Weight Plate, Stability Ball⌋"
1158,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼Raised Arm⧽ {-} ⌈-⌉ ⌊-⌋,Raised Arm Lateral Bend  /  -,,Flexibility,Bodyweight,Bend,,,Lateral,,Raised Arm,,,,"Standing, Lateral Bent",,../Exercises/Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼Raised Arm⧽ {-} ⌈-⌉ ⌊-⌋
1159,Bird Dog (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Bird Dog  /  -,,"Balance, Flexibility, Strength","Bodyweight, Stability",Bird Dog,,,,,,,,,2 Limbs Crawling,,../Exercises/Bird Dog (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1160,Body Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Body Up  /  -,,"Balance, Strength","Bodyweight, Stability",Body Up,,,,,,,,,"Plank, High Plank",,../Exercises/Body Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1161,Bracing (Ab) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Ab Bracing  /  -,,Strength,Bodyweight,Bracing,Ab,,,,,,,,Raised Knees Supine Lying,,../Exercises/Bracing (Ab) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1162,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Glute Bridge  /  -,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,,,,,,,"Raised Knees Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1164,"Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell, Flat Bench⌋","Glute Bridge  /  with Barbell, Flat Bench",,"Balance, Strength","Free Weight, Stability",Bridge,Glute,,,,,,,"Barbell, Flat Bench","Raised Knees Supine Lying, Bridge",,"../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell, Flat Bench⌋"
1165,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Glute Bridge  /  with Barbell,,"Balance, Strength","Free Weight, Stability",Bridge,Glute,,,,,,,Barbell,"Raised Legs Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋
1163,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,Glute Bridge  /  with Dumbbell,,"Balance, Strength","Free Weight, Stability",Bridge,Glute,,,,,,,Dumbbell,"Raised Knees Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋
1166,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋,Glute Bridge  /  with Dumbbells,,"Balance, Strength","Free Weight, Stability",Bridge,Glute,,,,,,,Dumbbells,"Raised Knees Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋
1167,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋,Glute Bridge  /  with Mini Loop Band,,"Balance, Strength","Bodyweight, Resistance Band, Stability",Bridge,Glute,,,,,,,Mini Loop Band,"Raised Knees Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋
1174,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {Elevated} ⌈-⌉ ⌊Flat Bench⌋,Elevated Glute Bridge  /  with Flat Bench,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,,,,Elevated,,Flat Bench,"Raised Legs Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {Elevated} ⌈-⌉ ⌊Flat Bench⌋
1168,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊-⌋,1 Leg Glute Bridge  /  -,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,,,1 Leg,,,,"Raised Knee Supine Lying, 1 Leg Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊-⌋
1169,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,1 Leg Glute Bridge  /  with Dumbbell,,"Balance, Strength","Free Weight, Stability",Bridge,Glute,,,,1 Leg,,,Dumbbell,"Raised Knee Supine Lying, 1 Leg Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Dumbbell⌋
1170,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Flat Bench⌋,1 Leg Glute Bridge  /  with Flat Bench,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,,,1 Leg,,,Flat Bench,"Raised Leg Supine Lying, 1 Leg Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Flat Bench⌋
1171,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋,1 Leg Glute Bridge  /  with Mini Loop Band,,"Balance, Strength","Bodyweight, Resistance Band, Stability",Bridge,Glute,,,,1 Leg,,,Mini Loop Band,"Raised Knee Supine Lying, 1 Leg Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋
1172,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Raised Leg⧽ {-} ⌈-⌉ ⌊-⌋,Raised Leg Glute Bridge  /  -,,"Balance, Flexibility, Strength","Bodyweight, Stability",Bridge,Glute,,,,Raised Leg,,,,"Raised Knee Supine Lying, 1 Leg Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Raised Leg⧽ {-} ⌈-⌉ ⌊-⌋
1177,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Staggered⧽ {-} ⌈-⌉ ⌊-⌋,Staggered Glute Bridge  /  -,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,,,Staggered,,,,"Raised Knees Supine Lying, Contrapposto Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Staggered⧽ {-} ⌈-⌉ ⌊-⌋
1173,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Straight Leg⧽ {-} ⌈-⌉ ⌊Flat Bench⌋,Straight Leg Glute Bridge  /  with Flat Bench,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,,,Straight Leg,,,Flat Bench,"Raised Legs Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Straight Leg⧽ {-} ⌈-⌉ ⌊Flat Bench⌋
1175,Bridge (Glute) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Lateral Glute Bridge  /  -,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,Lateral,,,,,,"Lateral Plank, Lateral Bent",,../Exercises/Bridge (Glute) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1176,Bridge (Glute) ⟮-⟯ [Pulsing] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Pulsing Glute Bridge  /  -,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,,Pulsing,,,,,,"Raised Knees Supine Lying, Bridge",,../Exercises/Bridge (Glute) ⟮-⟯ [Pulsing] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1178,Bridge (Glute) ⟮Table Top⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Table Top Glute Bridge  /  -,,"Balance, Strength","Bodyweight, Stability",Bridge,Glute,Table Top,,,,,,,"Horizontal Thrust, Reverse Table Top",,../Exercises/Bridge (Glute) ⟮Table Top⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1179,Burpee (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Burpee  /  -,,"Balance, Endurance, Flexibility, Strength","Bodyweight, Plyometric, Stability",Burpee,,,,,,,,,"Standing, Thrust, High Plank, Vertical Jumping",,../Exercises/Burpee (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1180,Burpee (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋,Burpee  /  with Dumbbells,,"Balance, Endurance, Flexibility, Strength","Bodyweight, Free Weight, Plyometric, Stability",Burpee,,,,,,,,Dumbbells,"Standing, Thrust, High Plank, Vertical Jumping",,../Exercises/Burpee (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋
1181,Carry (-) ⟮Zercher⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Zercher Carry  /  with Barbell,,Strength,Free Weight,Carry,,Zercher,,,,,,Barbell,Standing,,../Exercises/Carry (-) ⟮Zercher⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋
1182,"Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar, Dip Belt⌋","Chin Up  /  with Pull Up Bar, Dip Belt",,Strength,Bodyweight,Chin Up,,,,,,,,"Pull Up Bar, Dip Belt",Hanging,,"../Exercises/Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar, Dip Belt⌋"
1183,Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Chin Up  /  with Pull Up Bar,,Strength,Bodyweight,Chin Up,,,,,,,,Pull Up Bar,Hanging,,../Exercises/Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋
1187,"Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {Assisted} ⌈-⌉ ⌊Pull Up Bar, Pull Up Band⌋","Assisted Chin Up  /  with Pull Up Bar, Pull Up Band",,Strength,"Bodyweight, Resistance Band",Chin Up,,,,,,Assisted,,"Pull Up Bar, Pull Up Band",Hanging,,"../Exercises/Chin Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {Assisted} ⌈-⌉ ⌊Pull Up Bar, Pull Up Band⌋"
1184,Chin Up (-) ⟮-⟯ [-] ⟨Close Grip⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Close Grip Chin Up  /  with Pull Up Bar,,Strength,Bodyweight,Chin Up,,,,Close Grip,,,,Pull Up Bar,Hanging,,../Exercises/Chin Up (-) ⟮-⟯ [-] ⟨Close Grip⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋
1185,Chin Up (-) ⟮-⟯ [-] ⟨Uneven Grip⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Uneven Grip Chin Up  /  with Pull Up Bar,,Strength,Bodyweight,Chin Up,,,,Uneven Grip,,,,Pull Up Bar,Hanging,,../Exercises/Chin Up (-) ⟮-⟯ [-] ⟨Uneven Grip⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋
1186,Chin Up (-) ⟮Around the Bar⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋,Around the Bar Chin Up  /  with Pull Up Bar,,Strength,Bodyweight,Chin Up,,Around the Bar,,,,,,Pull Up Bar,Hanging,,../Exercises/Chin Up (-) ⟮Around the Bar⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Pull Up Bar⌋
1188,Circle (Arm) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Arm Circle  /  -,,"Flexibility, Strength",Bodyweight,Circle,Arm,,,,,,,,Standing,,../Exercises/Circle (Arm) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1189,Circle (Arm) ⟮-⟯ [-] ⟨-⟩ ⧼1 Arm⧽ {-} ⌈-⌉ ⌊-⌋,1 Arm Arm Circle  /  -,,"Flexibility, Strength",Bodyweight,Circle,Arm,,,,1 Arm,,,,Standing,,../Exercises/Circle (Arm) ⟮-⟯ [-] ⟨-⟩ ⧼1 Arm⧽ {-} ⌈-⌉ ⌊-⌋
1190,Circle (Elbow) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Elbow Circle  /  -,,"Flexibility, Strength",Bodyweight,Circle,Elbow,,,,,,,,Standing,,../Exercises/Circle (Elbow) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1191,Circle (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Hip Circle  /  -,,"Flexibility, Strength",Bodyweight,Circle,Hip,,,,,,,,"Standing, Lateral Bent",,../Exercises/Circle (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1192,Circle (Knee) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Knee Circle  /  -,,"Balance, Strength","Bodyweight, Stability",Circle,Knee,,,,,,,,"Standing, Partial Squatting",,../Exercises/Circle (Knee) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1193,Clamshell (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Clamshell  /  -,,Strength,Bodyweight,Clamshell,,,,,,,,,"Lateral Lying, Raised Knee Lateral Lying",,../Exercises/Clamshell (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1194,Clamshell (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋,Clamshell  /  with Mini Loop Band,,Strength,Resistance Band,Clamshell,,,,,,,,Mini Loop Band,"Lateral Lying, Raised Knee Lateral Lying",,../Exercises/Clamshell (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋
1195,Clean & Jerk (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Clean & Jerk  /  with Barbell,,Strength,Free Weight,Clean & Jerk,,,,,,,,Barbell,"Partial Squatting, Standing, Squatting, Lunge",,../Exercises/Clean & Jerk (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋
1196,Clean & Jerk (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Kettlebells⌋,Clean & Jerk  /  with Kettlebells,,Strength,Free Weight,Clean & Jerk,,,,,,,,Kettlebells,"Partial Squatting, Standing, Squatting",,../Exercises/Clean & Jerk (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Kettlebells⌋
